player_name,player_id,season,team,poss,mp,raptor_total,war,ws,winner
Doug Collins,collido01,1977,PHI,1716,759,3.37933105,2.441791627,2.6,false
Julius Erving,ervinju01,1977,PHI,1714,758,6.492065402,3.66738903,3.4,false
Henry Bibby,bibbyhe01,1977,PHI,1562,691,-0.771679483,0.717660319,0.7,false
George McGinnis,mcginge01,1977,PHI,1363,603,-2.134330274,0.196226188,0.2,false
Caldwell Jones,jonesca01,1977,PHI,1160,513,-0.512636934,0.604927638,0.9,false
Steve Mix,mixst01,1977,PHI,932,412,2.535198102,1.144500575,1.2,false
Darryl Dawkins,dawkida01,1977,PHI,748,331,-1.107603572,0.287258443,0.8,false
World B. Free,freewo01,1977,PHI,635,281,-4.203125261,-0.215900382,-0.1,false
Joe Bryant,bryanjo01,1977,PHI,167,74,-2.00305646,0.029449366,0.0,false
Mike Dunleavy,dunlemi01,1977,PHI,154,68,-6.087621561,-0.120953959,-0.1,false
Harvey Catchings,catchha01,1977,PHI,122,54,-6.136905247,-0.096529617,0.0,false
Terry Furlow,furlote01,1977,PHI,36,16,8.644996502,0.095684708,0.1,false
Bill Walton,waltobi01,1977,POR,1707,755,5.327994301,3.196556398,2.5,true
Maurice Lucas,lucasma01,1977,POR,1653,731,3.367935701,2.353712757,2.6,true
Lionel Hollins,hollili01,1977,POR,1542,682,0.128422195,1.038146344,0.6,true
Bob Gross,grossbo01,1977,POR,1318,583,6.634245961,2.885261284,2.5,true
Johnny Davis,davisjo01,1977,POR,986,436,2.377292109,1.176177215,1.0,true
Dave Twardzik,twardda01,1977,POR,800,354,1.419207096,0.781385513,1.1,true
Herm Gilliam,gillihe01,1977,POR,667,295,-2.264320041,0.075462286,0.2,true
Larry Steele,steella01,1977,POR,590,261,-3.264747018,-0.070848416,0.2,true
Lloyd Neal,nealll01,1977,POR,466,206,-1.790477004,0.104342008,0.5,true
Robin Jones,jonesro01,1977,POR,237,105,-1.760712969,0.05533773,0.1,true
Corky Calhoun,calhoco01,1977,POR,213,94,-0.681676624,0.103009335,0.2,true
Wally Walker,walkewa01,1977,POR,188,83,-2.08689126,0.029496774,0.1,true
