player_name,player_id,season,team,poss,mp,raptor_total,war,ws,winner
Giannis Antetokounmpo,,2021,MIL,0,800,6.5,3.9,0,true
Jrue Holiday,,2021,MIL,0,912,4.8,3.6,0,true
Khris Middleton,,2021,MIL,0,922,3.9,3.2,0,true
P.J. Tucker,,2021,MIL,0,681,2.4,1.9,0,true
Pat Connaughton,,2021,MIL,0,546,3.6,1.8,0,true
Brook Lopez,,2021,MIL,0,667,2.1,1.7,0,true
Bobby Portis,,2021,MIL,0,366,2.9,1.1,0,true
Donte DiVincenzo,,2021,MIL,0,70,-1.1,0.1,0,true
Sam Merrill,,2021,MIL,0,30,6.5,0.1,0,true
Thanasis Antetokounmpo,,2021,MIL,0,45,-2.2,0.0,0,true
Justin Jackson,,2021,MIL,0,15,-0.3,0.0,0,true
Jordan Nwora,,2021,MIL,0,31,-4.5,0.0,0,true
Axel Toupane,,2021,MIL,0,10,-3.5,0.0,0,true
Mamadi Diakite,,2021,MIL,0,35,-7.0,-0.1,0,true
Elijah Bryant,,2021,MIL,0,50,-9.6,-0.2,0,true
Jeff Teague,,2021,MIL,0,119,-8.0,-0.3,0,true
Bryn Forbes,,2021,MIL,0,273,-5.8,-0.4,0,true
Devin Booker,,2021,PHO,0,889,5.5,3.9,0,false
Jae Crowder,,2021,PHO,0,729,5.1,3.0,0,false
Deandre Ayton,,2021,PHO,0,801,3.2,2.5,0,false
Chris Paul,,2021,PHO,0,683,3.3,2.2,0,false
Mikal Bridges,,2021,PHO,0,707,2.0,1.7,0,false
Cameron Payne,,2021,PHO,0,418,3.9,1.4,0,false
Cameron Johnson,,2021,PHO,0,443,0.7,0.8,0,false
Dario Saric,,2021,PHO,0,147,1.5,0.3,0,false
Torrey Craig,,2021,PHO,0,266,-1.7,0.2,0,false
E'Twaun Moore,,2021,PHO,0,46,4.1,0.2,0,false
Ty-Shon Alexander,,2021,PHO,0,1,14.1,0.0,0,false
Frank Kaminsky,,2021,PHO,0,68,-4.1,0.0,0,false
Abdel Nader,,2021,PHO,0,29,-5.1,0.0,0,false
Jevon Carter,,2021,PHO,0,22,-9.8,-0.1,0,false
Langston Galloway,,2021,PHO,0,15,-17.4,-0.1,0,false
Jalen Smith,,2021,PHO,0,18,-10.1,-0.1,0,false
